Year,Period,labor force,employment,unemployment,unemployment rate
2013,Jun,177886,166977,10909,6.1
2013,Jul,175637,165482,10155,5.8
2013,Aug,175852,166475,9377,5.3
2013,Sep,175723,166746,8977,5.1
2013,Oct,175042,165711,9331,5.3
2013,Nov,174762,165870,8892,5.1
2013,Dec,172348,164113,8235,4.8
2014,Jan,170917,161524,9393,5.5
2014,Feb,174023,164105,9918,5.7
2014,Mar,174339,165297,9042,5.2
2014,Apr,175165,167064,8101,4.6
2014,May,177091,169801,7290,4.1
2014,Jun,179754,172293,7461,4.2
2014,Jul,177911,170455,7456,4.2
2014,Aug,178513,171536,6977,3.9
2014,Sep,179085,173017,6068,3.4
2014,Oct,179475,173422,6053,3.4
2014,Nov,179213,173083,6130,3.4
2014,Dec,176126,170332,5794,3.3
2015,Jan,174303,167468,6835,3.9
2015,Feb,176479,169517,6962,3.9
2015,Mar,176663,170226,6437,3.6
2015,Apr,177695,171895,5800,3.3
2015,May,181520,175583,5937,3.3
2015,Jun,182612,176504,6108,3.3
2015,Jul,180967,175305,5662,3.1
2015,Aug,181332,176064,5268,2.9
2015,Sep,182476,177814,4662,2.6
2015,Oct,183653,178784,4869,2.7
2015,Nov,183046,178116,4930,2.7
2015,Dec,181687,176813,4874,2.7
2016,Jan,173187(T),167570(T),5617(T),3.2(T)
2016,Feb,176280(T),170323(T),5957(T),3.4(T)
2016,Mar,176218(T),170607(T),5611(T),3.2(T)
2016,Apr,177542(T),172422(T),5120(T),2.9(T)
2016,May,180385(T),175469(T),4916(T),2.7(T)
2016,Jun,179362(T),173846(T),5516(T),3.1(T)
2016,Jul,180151(T),174924(T),5227(T),2.9(T)
2016,Aug,182029(T),176914(T),5115(T),2.8(T)
2016,Sep,183290(T),178818(T),4472(T),2.4(T)
2016,Oct,183871(T),179394(T),4477(T),2.4(T)
2016,Nov,182307(T),178240(T),4067(T),2.2(T)
2016,Dec,179757(T),175687(T),4070(T),2.3(T)
2017,Jan,179395(T),174378(T),5017(T),2.8(T)
2017,Feb,181935(T),177049(T),4886(T),2.7(T)
2017,Mar,182155(T),178335(T),3820(T),2.1(T)
2017,Apr,184003(T),180349(T),3654(T),2.0(T)
2017,May,186514(T),182653(T),3861(T),2.1(T)
2017,Jun,186103(T),181664(T),4439(T),2.4(T)
2017,Jul,187787(T),183305(T),4482(T),2.4(T)
2017,Aug,188107(T),183548(T),4559(T),2.4(T)
2017,Sep,190909(T),186635(T),4274(T),2.2(T)
2017,Oct,190545(T),186006(T),4539(T),2.4(T)
2017,Nov,189726(T),185143(T),4583(T),2.4(T)
2017,Dec,187073(T),182659(T),4414(T),2.4(T)
2018,Jan,186154(T),180953(T),5201(T),2.8(T)
2018,Feb,189742(T),184007(T),5735(T),3.0(T)
2018,Mar,189040(T),183929(T),5111(T),2.7(T)
2018,Apr,190498(T),185753(T),4745(T),2.5(T)
2018,May,192139(T),187474(T),4665(T),2.4(T)
2018,Jun,192064(T),186345(T),5719(T),3.0(T)
2018,Jul,192598(T),186974(T),5624(T),2.9(T)
2018,Aug,192283(T),186665(T),5618(T),2.9(T)
2018,Sep,194132(T),189051(T),5081(T),2.6(T)
2018,Oct,194839(T),189671(T),5168(T),2.7(T)
2018,Nov,193820(T),188754(T),5066(T),2.6(T)
2018,Dec,192139(T),187066(T),5073(T),2.6(T)
2019,Jan,191208(T),185376(T),5832(T),3.1(T)
2019,Feb,193292(T),187674(T),5618(T),2.9(T)
2019,Mar,192763(T),187776(T),4987(T),2.6(T)
2019,Apr,193503(T),189208(T),4295(T),2.2(T)
2019,May,195205(T),191199(T),4006(T),2.1(T)
2019,Jun,196096(T),191239(T),4857(T),2.5(T)
2019,Jul,195315(T),190768(T),4547(T),2.3(T)
2019,Aug,195125(T),190505(T),4620(T),2.4(T)
2019,Sep,198532(T),194339(T),4193(T),2.1(T)
2019,Oct,198020(T),193661(T),4359(T),2.2(T)
2019,Nov,197038(T),192590(T),4448(T),2.3(T)
2019,Dec,195050(T),190583(T),4467(T),2.3(T)
2020,Jan,194943(T),189223(T),5720(T),2.9(T)
2020,Feb,197723(T),191544(T),6179(T),3.1(T)
2020,Mar,194968(T),187905(T),7063(T),3.6(T)
2020,Apr,186201(T),166602(T),19599(T),10.5(T)
2020,May,191457(T),171083(T),20374(T),10.6(T)
2020,Jun,197536(T),177437(T),20099(T),10.2(T)
2020,Jul,187383(T),176427(T),10956(T),5.8(T)
2020,Aug,191675(T),181744(T),9931(T),5.2(T)
2020,Sep,194085(T),183635(T),10450(T),5.4(T)
2020,Oct,194947(T),185058(T),9889(T),5.1(T)
2020,Nov,194738(T),184438(T),10300(T),5.3(T)
