Year,Period,labor force,employment,unemployment,unemployment rate
2010,Sep,1423368,1298414,124954,8.8
2010,Oct,1422182,1296197,125985,8.9
2010,Nov,1424185,1292580,131605,9.2
2010,Dec,1414647,1284090,130557,9.2
2011,Jan,1409473,1276308,133165,9.4
2011,Feb,1412542,1280416,132126,9.4
2011,Mar,1412627,1285212,127415,9
2011,Apr,1419068,1300412,118656,8.4
2011,May,1431719,1306214,125505,8.8
2011,Jun,1432640,1310325,122315,8.5
2011,Jul,1436190,1313814,122376,8.5
2011,Aug,1437154,1314640,122514,8.5
2011,Sep,1441187,1321426,119761,8.3
2011,Oct,1444155,1325710,118445,8.2
2011,Nov,1444879,1326915,117964,8.2
2011,Dec,1433812,1314396,119416,8.3
2012,Jan,1427881,1303690,124191,8.7
2012,Feb,1435504,1309719,125785,8.8
2012,Mar,1431051,1309505,121546,8.5
2012,Apr,1431128,1317142,113986,8
2012,May,1443482,1329520,113962,7.9
2012,Jun,1457536,1337907,119629,8.2
2012,Jul,1451650,1334889,116761,8
2012,Aug,1447460,1335981,111479,7.7
2012,Sep,1452511,1348865,103646,7.1
2012,Oct,1459327,1356276,103051,7.1
2012,Nov,1452699,1351532,101167,7
2012,Dec,1450313,1348005,102308,7.1
2013,Jan,1452784,1341569,111215,7.7
2013,Feb,1455667,1346417,109250,7.5
2013,Mar,1442891,1342462,100429,7
2013,Apr,1451198,1357599,93599,6.4
2013,May,1461344,1366395,94949,6.5
2013,Jun,1474981,1372818,102163,6.9
2013,Jul,1474182,1376681,97501,6.6
2013,Aug,1470612,1377928,92684,6.3
2013,Sep,1470282,1381796,88486,6
2013,Oct,1467455,1379986,87469,6
2013,Nov,1470744,1387183,83561,5.7
2013,Dec,1458537,1379382,79155,5.4
2014,Jan,1461537,1373943,87594,6
2014,Feb,1472968,1382472,90496,6.1
2014,Mar,1471347,1386868,84479,5.7
2014,Apr,1478893,1401086,77807,5.3
2014,May,1482638,1412268,70370,4.7
2014,Jun,1493901,1422413,71488,4.8
2014,Jul,1499243,1427597,71646,4.8
2014,Aug,1492715,1426169,66546,4.5
2014,Sep,1491314,1432249,59065,4
2014,Oct,1500264,1442354,57910,3.9
2014,Nov,1492502,1434275,58227,3.9
2014,Dec,1481986,1425721,56265,3.8
2015,Jan,1485973,1421768,64205,4.3
2015,Feb,1488022,1424606,63416,4.3
2015,Mar,1483689,1423489,60200,4.1
