Year,Period,labor force,employment,unemployment,unemployment rate
2013,Jun,321403,294467,26936,8.4
2013,Jul,319888,294231,25657,8
2013,Aug,319281,295211,24070,7.5
2013,Sep,319448,296547,22901,7.2
2013,Oct,317459,294629,22830,7.2
2013,Nov,318110,296108,22002,6.9
2013,Dec,314656,293691,20965,6.7
2014,Jan,314202,290869,23333,7.4
2014,Feb,316796,292989,23807,7.5
2014,Mar,316275,293799,22476,7.1
2014,Apr,317951,296885,21066,6.6
2014,May,319155,300544,18611,5.8
2014,Jun,320553,301344,19209,6
2014,Jul,320317,301188,19129,6
2014,Aug,318083,300545,17538,5.5
2014,Sep,317354,301712,15642,4.9
2014,Oct,318924,303677,15247,4.8
2014,Nov,318002,302334,15668,4.9
2014,Dec,314695,299565,15130,4.8
2015,Jan,314121,297018,17103,5.4
2015,Feb,314700,298019,16681,5.3
2015,Mar,313880,297870,16010,5.1
2015,Apr,314720,300455,14265,4.5
2015,May,319455,305160,14295,4.5
2015,Jun,319695,304708,14987,4.7
2015,Jul,319866,305616,14250,4.5
2015,Aug,319992,307267,12725,4
2015,Sep,320718,309091,11627,3.6
2015,Oct,320920,309240,11680,3.6
2015,Nov,321606,309668,11938,3.7
2015,Dec,319007,307159,11848,3.7
2016,Jan,326484(T),313400(T),13084(T),4.0(T)
2016,Feb,330453(T),316873(T),13580(T),4.1(T)
2016,Mar,330367(T),317538(T),12829(T),3.9(T)
2016,Apr,331591(T),319716(T),11875(T),3.6(T)
2016,May,333312(T),321965(T),11347(T),3.4(T)
2016,Jun,335846(T),322822(T),13024(T),3.9(T)
2016,Jul,334891(T),322336(T),12555(T),3.7(T)
2016,Aug,335166(T),323412(T),11754(T),3.5(T)
2016,Sep,338636(T),328027(T),10609(T),3.1(T)
2016,Oct,338617(T),328286(T),10331(T),3.1(T)
2016,Nov,338817(T),329188(T),9629(T),2.8(T)
2016,Dec,335304(T),325778(T),9526(T),2.8(T)
2017,Jan,336040(T),324786(T),11254(T),3.3(T)
2017,Feb,340303(T),329539(T),10764(T),3.2(T)
2017,Mar,340231(T),331280(T),8951(T),2.6(T)
2017,Apr,341014(T),332589(T),8425(T),2.5(T)
2017,May,343543(T),334780(T),8763(T),2.6(T)
2017,Jun,347571(T),336944(T),10627(T),3.1(T)
2017,Jul,348113(T),337183(T),10930(T),3.1(T)
2017,Aug,348049(T),337342(T),10707(T),3.1(T)
2017,Sep,351685(T),341505(T),10180(T),2.9(T)
2017,Oct,350082(T),339728(T),10354(T),3.0(T)
2017,Nov,349958(T),339338(T),10620(T),3.0(T)
2017,Dec,347095(T),336584(T),10511(T),3.0(T)
2018,Jan,346196(T),334105(T),12091(T),3.5(T)
2018,Feb,352656(T),339427(T),13229(T),3.8(T)
2018,Mar,351448(T),339228(T),12220(T),3.5(T)
2018,Apr,351039(T),339575(T),11464(T),3.3(T)
2018,May,354080(T),342954(T),11126(T),3.1(T)
2018,Jun,356599(T),342738(T),13861(T),3.9(T)
2018,Jul,357492(T),342964(T),14528(T),4.1(T)
2018,Aug,354749(T),341487(T),13262(T),3.7(T)
2018,Sep,356824(T),344668(T),12156(T),3.4(T)
2018,Oct,358872(T),346697(T),12175(T),3.4(T)
2018,Nov,358149(T),345997(T),12152(T),3.4(T)
2018,Dec,356315(T),343804(T),12511(T),3.5(T)
2019,Jan,355455(T),342044(T),13411(T),3.8(T)
2019,Feb,359556(T),346606(T),12950(T),3.6(T)
2019,Mar,357677(T),345975(T),11702(T),3.3(T)
2019,Apr,356568(T),346490(T),10078(T),2.8(T)
2019,May,359942(T),350047(T),9895(T),2.7(T)
2019,Jun,362354(T),350936(T),11418(T),3.2(T)
2019,Jul,362488(T),350701(T),11787(T),3.3(T)
2019,Aug,363239(T),352221(T),11018(T),3.0(T)
2019,Sep,364575(T),354582(T),9993(T),2.7(T)
2019,Oct,365833(T),355510(T),10323(T),2.8(T)
2019,Nov,365878(T),355197(T),10681(T),2.9(T)
2019,Dec,362494(T),351901(T),10593(T),2.9(T)
2020,Jan,364204(T),351547(T),12657(T),3.5(T)
2020,Feb,367181(T),353552(T),13629(T),3.7(T)
2020,Mar,364694(T),348603(T),16091(T),4.4(T)
2020,Apr,350746(T),312609(T),38137(T),10.9(T)
2020,May,359048(T),319320(T),39728(T),11.1(T)
2020,Jun,370609(T),330770(T),39839(T),10.7(T)
2020,Jul,356789(T),334830(T),21959(T),6.2(T)
2020,Aug,362727(T),342771(T),19956(T),5.5(T)
