Year,Period,labor force,employment,unemployment,unemployment rate
2011,Oct,136955,125675,11280,8.2
2011,Nov,135914,124765,11149,8.2
2011,Dec,134939,123676,11263,8.3
2012,Jan,133744,121879,11865,8.9
2012,Feb,135642,123492,12150,9
2012,Mar,135505,123761,11744,8.7
2012,Apr,135212,124369,10843,8
2012,May,136758,126018,10740,7.9
2012,Jun,137082,125578,11504,8.4
2012,Jul,136804,125532,11272,8.2
2012,Aug,136831,126375,10456,7.6
2012,Sep,138339,128686,9653,7
2012,Oct,139443,129776,9667,6.9
2012,Nov,137041,127670,9371,6.8
2012,Dec,136601,127057,9544,7
2013,Jan,136091,125569,10522,7.7
2013,Feb,137988,127152,10836,7.9
2013,Mar,137072,127431,9641,7
2013,Apr,137332,128438,8894,6.5
2013,May,139544,130638,8906,6.4
2013,Jun,139470,129598,9872,7.1
2013,Jul,138899,129776,9123,6.6
2013,Aug,139971,131395,8576,6.1
2013,Sep,140814,132676,8138,5.8
2013,Oct,140589,132484,8105,5.8
2013,Nov,140309,132636,7673,5.5
2013,Dec,138866,131733,7133,5.1
2014,Jan,139918,131847,8071,5.8
2014,Feb,142170,133830,8340,5.9
2014,Mar,142701,135047,7654,5.4
2014,Apr,143409,136356,7053,4.9
2014,May,144506,138116,6390,4.4
2014,Jun,145129,138541,6588,4.5
2014,Jul,145480,138991,6489,4.5
2014,Aug,146512,140557,5955,4.1
2014,Sep,148174,142999,5175,3.5
2014,Oct,148915,143759,5156,3.5
2014,Nov,148473,143220,5253,3.5
2014,Dec,146512,141428,5084,3.5
2015,Jan,146701,140800,5901,4
2015,Feb,147890,141756,6134,4.1
2015,Mar,147425,141500,5925,4
2015,Apr,146936,141373,5563,3.8
2015,May,148534,142811,5723,3.9
2015,Jun,147852,141845,6007,4.1
2015,Jul,146948,141280,5668,3.9
2015,Aug,146981,141770,5211,3.5
2015,Sep,147669,143004,4665,3.2
2015,Oct,148014,143307,4707,3.2
2015,Nov,147713,142925,4788,3.2
2015,Dec,146476,141691,4785,3.3
2016,Jan,147764(T),142361(T),5403(T),3.7(T)
2016,Feb,149475(T),143744(T),5731(T),3.8(T)
2016,Mar,148726(T),143268(T),5458(T),3.7(T)
2016,Apr,148928(T),143825(T),5103(T),3.4(T)
2016,May,150623(T),145747(T),4876(T),3.2(T)
2016,Jun,150149(T),144641(T),5508(T),3.7(T)
2016,Jul,150120(T),144941(T),5179(T),3.4(T)
2016,Aug,151051(T),146098(T),4953(T),3.3(T)
2016,Sep,151687(T),147338(T),4349(T),2.9(T)
